bg_type,foreground_ratio,has_scale_bar,has_overlay_text,layout_mode,code,image_path
white,0.223,True,False,multi-view,Нц-34-079,cu_data/dataset/Нц-34-079_orig.jpg
white,0.273,False,False,multi-view,БП12-Г01-7212,cu_data/dataset/БП12-Г01-7212_orig.jpg
white,0.38,True,False,multi-view,Нейш3А-2018-0833,cu_data/dataset/Нейш3А-2018-0833_orig.jpg
white,0.394,False,False,multi-view,Нц-37-0589,cu_data/dataset/Нц-37-0589_orig.jpg
white,0.403,True,False,multi-view,Нц-45-1466,cu_data/dataset/Нц-45-1466_orig.jpg
white,0.303,True,False,multi-view,БП12-Г02-4190,cu_data/dataset/БП12-Г02-4190_orig.jpg
white,0.193,False,False,multi-view,Нц-48-376,cu_data/dataset/Нц-48-376_orig.jpg
white,0.284,True,False,multi-view,Нц-23-2188,cu_data/dataset/Нц-23-2188_orig.jpg
white,0.228,True,False,multi-view,Нц-45-0018,cu_data/dataset/Нц-45-0018_orig.jpg
white,0.312,True,False,multi-view,Нц-45-0558,cu_data/dataset/Нц-45-0558_orig.jpg
white,0.358,True,False,multi-view,КБ-2014-Р2-0651,cu_data/dataset/КБ-2014-Р2-0651_orig.jpg
white,0.195,True,False,multi-view,Нейш3А-2018-3060,cu_data/dataset/Нейш3А-2018-3060_orig.jpg
other,0.997,False,True,single-fragment,Нейш3А-2018-0847,cu_data/dataset/Нейш3А-2018-0847_orig.jpg
white,0.17,False,False,multi-view,БП11-Р01-тех-0394,cu_data/dataset/БП11-Р01-тех-0394_orig.jpg
white,0.262,True,False,multi-view,Нейш3А-2018-7215,cu_data/dataset/Нейш3А-2018-7215_orig.jpg
white,0.356,True,False,multi-view,БП12-Г01-2474,cu_data/dataset/БП12-Г01-2474_orig.jpg
white,0.318,False,False,multi-view,Нц-37-0071,cu_data/dataset/Нц-37-0071_orig.jpg
white,0.416,True,False,multi-view,БП12-Г01-6524,cu_data/dataset/БП12-Г01-6524_orig.jpg
white,0.256,True,False,multi-view,Нейш3А-2018-0834,cu_data/dataset/Нейш3А-2018-0834_orig.jpg
white,0.342,False,False,multi-view,Нц-46-193,cu_data/dataset/Нц-46-193_orig.jpg
white,0.296,False,False,multi-view,Нц-45-0287,cu_data/dataset/Нц-45-0287_orig.jpg
other,0.485,False,True,multi-view,Нейш3А-2018-0806,cu_data/dataset/Нейш3А-2018-0806_orig.jpg
white,0.198,False,False,multi-view,Нц-45-0567,cu_data/dataset/Нц-45-0567_orig.jpg
white,0.297,True,False,multi-view,Нейш3А-2018-0189,cu_data/dataset/Нейш3А-2018-0189_orig.jpg
white,0.292,False,False,multi-view,Нц-46-211,cu_data/dataset/Нц-46-211_orig.jpg
white,0.325,False,False,multi-view,Нц-37-0588,cu_data/dataset/Нц-37-0588_orig.jpg
white,0.332,True,False,multi-view,КБ-2014-Р2-0646,cu_data/dataset/КБ-2014-Р2-0646_orig.jpg
white,0.157,True,False,multi-view,КБ-2014-Р1-0547,cu_data/dataset/КБ-2014-Р1-0547_orig.jpg
white,0.197,False,False,multi-view,Нц-52-514,cu_data/dataset/Нц-52-514_orig.jpg
white,0.43,True,False,multi-view,КБ-2014-Р5-0065,cu_data/dataset/КБ-2014-Р5-0065_orig.jpg
white,0.375,False,False,multi-view,Нц-32-0339,cu_data/dataset/Нц-32-0339_orig.jpg
white,0.543,True,False,multi-view,Нейш3А-2018-0812,cu_data/dataset/Нейш3А-2018-0812_orig.jpg
other,0.269,False,False,multi-view,БП12-Г02-5226,cu_data/dataset/БП12-Г02-5226_orig.jpg
white,0.226,False,False,multi-view,БП11-Р01-тех-0421,cu_data/dataset/БП11-Р01-тех-0421_orig.jpg
white,0.189,False,False,multi-view,Нц-36-274,cu_data/dataset/Нц-36-274_orig.jpg
white,0.307,False,False,multi-view,БП12-Г02-3927,cu_data/dataset/БП12-Г02-3927_orig.jpg
white,0.288,False,False,multi-view,Нц-32-0344,cu_data/dataset/Нц-32-0344_orig.jpg
white,0.387,True,False,multi-view,Нейш3А-2018-2581,cu_data/dataset/Нейш3А-2018-2581_orig.jpg
white,0.391,True,False,multi-view,Т-12-Р2-2049,cu_data/dataset/Т-12-Р2-2049_orig.jpg
white,0.363,True,False,multi-view,КБ-2014-Р5-0070,cu_data/dataset/КБ-2014-Р5-0070_orig.jpg
white,0.246,False,False,multi-view,Нц-33-2959,cu_data/dataset/Нц-33-2959_orig.jpg
white,0.183,False,False,multi-view,Нц-33-5212,cu_data/dataset/Нц-33-5212_orig.jpg
white,0.401,False,False,multi-view,Нц-45-1562,cu_data/dataset/Нц-45-1562_orig.jpg
white,0.405,True,False,multi-view,Т-12-Р2-2924,cu_data/dataset/Т-12-Р2-2924_orig.jpg
white,0.459,True,False,multi-view,БП12-Г01-6538,cu_data/dataset/БП12-Г01-6538_orig.jpg
white,0.418,True,False,multi-view,Нейш3А-2018-0955,cu_data/dataset/Нейш3А-2018-0955_orig.jpg
white,0.328,False,False,multi-view,Нц-102-1976,cu_data/dataset/Нц-102-1976_orig.jpg
white,0.194,True,False,multi-view,Т-12-Р2-1779,cu_data/dataset/Т-12-Р2-1779_orig.jpg
white,0.118,False,False,multi-view,БП11-Р01-Г01-1290,cu_data/dataset/БП11-Р01-Г01-1290_orig.jpg
white,0.075,True,False,multi-view,Нц-33-2987,cu_data/dataset/Нц-33-2987_orig.jpg
