code,image_path,path_exists,group_key,name_raw,name_norm,name_is_missing,name_is_uncertain,material_raw,material_norm,material_is_missing,material_is_uncertain,fragm_raw,fragm_norm,fragm_is_missing,fragm_is_uncertain
М102-2012-1-0494,cu_data/dataset/М102-2012-1-0494_orig.jpg,True,М102-2012-1,Изразец,изразец,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0496,cu_data/dataset/М102-2012-1-0496_orig.jpg,True,М102-2012-1,Изразец,изразец,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0529,cu_data/dataset/М102-2012-1-0529_orig.jpg,True,М102-2012-1,Изразец,изразец,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0585,cu_data/dataset/М102-2012-1-0585_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0603,cu_data/dataset/М102-2012-1-0603_orig.jpg,True,М102-2012-1,Изразец,изразец,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0611,cu_data/dataset/М102-2012-1-0611_orig.jpg,True,М102-2012-1,Изразец,изразец,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0691,cu_data/dataset/М102-2012-1-0691_orig.jpg,True,М102-2012-1,Миска,тарелка,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0752,cu_data/dataset/М102-2012-1-0752_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0827,cu_data/dataset/М102-2012-1-0827_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0833,cu_data/dataset/М102-2012-1-0833_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0837,cu_data/dataset/М102-2012-1-0837_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0843,cu_data/dataset/М102-2012-1-0843_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0847,cu_data/dataset/М102-2012-1-0847_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0851,cu_data/dataset/М102-2012-1-0851_orig.jpg,True,М102-2012-1,Тарелка,тарелка,False,False,Фаянс,керамика,False,False,Фрагмент,фрагмент,False,False
М102-2012-1-0942,cu_data/dataset/М102-2012-1-0942_orig.jpg,True,М102-2012-1,Миска,тарелка,False,False,Керамика,керамика,False,False,Фрагмент,фрагмент,False,False
