code,image_path,group_key,split,name_norm,material_norm,fragm_norm
М102-2012-1-0494,cu_data/dataset/М102-2012-1-0494_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
М102-2012-1-0496,cu_data/dataset/М102-2012-1-0496_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
М102-2012-1-0529,cu_data/dataset/М102-2012-1-0529_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
М102-2012-1-0585,cu_data/dataset/М102-2012-1-0585_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0603,cu_data/dataset/М102-2012-1-0603_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
М102-2012-1-0611,cu_data/dataset/М102-2012-1-0611_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
М102-2012-1-0691,cu_data/dataset/М102-2012-1-0691_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0752,cu_data/dataset/М102-2012-1-0752_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0827,cu_data/dataset/М102-2012-1-0827_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0833,cu_data/dataset/М102-2012-1-0833_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0837,cu_data/dataset/М102-2012-1-0837_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0843,cu_data/dataset/М102-2012-1-0843_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0847,cu_data/dataset/М102-2012-1-0847_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0851,cu_data/dataset/М102-2012-1-0851_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0942,cu_data/dataset/М102-2012-1-0942_orig.jpg,М102-2012-1,test,тарелка,керамика,фрагмент
М102-2012-1-0949,cu_data/dataset/М102-2012-1-0949_orig.jpg,М102-2012-1,test,изразец,керамика,фрагмент
